time_s,previous_period_s,own_count,D_cell_mask_before,D_cell_mask_after,next_period_s,slack_min,slack_max,completed_passes,physical_pending_words_diagnostic_only,local_previous_set_period,local_refined_set_period,PrH_D3000,PrH_D30,last_blocking_node,knownD_slack_unused_for_unknown,remaining_risk_potential_min,remaining_risk_potential_max
16.0,1.0,2.0,4294967295.0,4294967295.0,1.0,0.01165069077668103,0.011999794786343318,16.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0872417060983526,0.11690222730991941
17.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.011650690776681016,0.011999794786343304,17.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08722069869456923,0.1168790158998906
18.0,1.0,3.0,4294967295.0,4294967295.0,1.0,0.011650690776681016,0.011999794786343332,18.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08719969129078588,0.11685580318991695
19.0,1.0,8.0,4294967295.0,4294967295.0,1.0,0.011650690776681016,0.011999794786343332,19.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0871786838870025,0.11683258917913157
20.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776681016,0.011999794786343332,20.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08715767648321913,0.11680937386666695
21.0,1.0,12.0,4294967295.0,4294967295.0,1.0,0.011650690776681016,0.011999794786343346,21.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08713666907943579,0.11678615725165502
22.0,1.0,8.0,4294967295.0,4294967295.0,1.0,0.011650690776681016,0.011999794786343332,22.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08711566167565243,0.11676293933322712
23.0,1.0,5.0,4294967295.0,4294967295.0,1.0,0.011650690776681016,0.011999794786343318,23.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08709465427186908,0.11673972011051402
24.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776681016,0.011999794786343332,24.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0870736468680857,0.11671649958264589
25.0,1.0,7.0,4294967295.0,4294967295.0,1.0,0.011650690776681003,0.011999794786343332,25.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08705263946430233,0.11669327774875236
26.0,1.0,2.0,4294967295.0,4294967295.0,1.0,0.011650690776681003,0.011999794786343332,26.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08703163206051899,0.11667005460796244
27.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776681003,0.011999794786343346,27.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08701062465673563,0.1166468301594046
28.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.011650690776681003,0.011999794786343346,28.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08698961725295226,0.11662360440220666
29.0,1.0,7.0,4294967295.0,4294967295.0,1.0,0.011650690776681003,0.011999794786343332,29.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08696860984916889,0.11660037733549593
30.0,1.0,12.0,4294967295.0,4294967295.0,1.0,0.011650690776681003,0.011999794786343332,30.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08694760244538553,0.11657714895839912
31.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776681003,0.011999794786343332,31.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08692659504160218,0.11655391927004233
32.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.011650690776681003,0.011999794786343332,32.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0869055876378188,0.1165306882695511
33.0,1.0,5.0,4294967295.0,4294967295.0,1.0,0.011650690776681003,0.011999794786343346,33.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08688458023403543,0.11650745595605039
34.0,1.0,8.0,4294967295.0,4294967295.0,1.0,0.011650690776680989,0.01199979478634336,34.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08686357283025205,0.11648422232866454
35.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776680989,0.011999794786343346,35.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0868425654264687,0.11646098738651739
36.0,1.0,5.0,4294967295.0,4294967295.0,1.0,0.011650690776680989,0.011999794786343346,36.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08682155802268533,0.11643775112873211
37.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776680989,0.011999794786343346,37.0,3.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08680055061890198,0.1164145135544313
38.0,1.0,9.0,4294967295.0,4294967295.0,1.0,0.011650690776680989,0.011999794786343346,38.0,2.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08677954321511859,0.116391274662737
39.0,1.0,10.0,4294967295.0,4294967295.0,1.0,0.011650690776680989,0.01199979478634336,39.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08675853581133525,0.11636803445277065
40.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.011650690776680989,0.011999794786343373,40.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08673752840755189,0.11634479292365314
41.0,1.0,3.0,4294967295.0,4294967295.0,1.0,0.011650690776680989,0.011999794786343373,41.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08671652100376853,0.11632155007450472
42.0,1.0,5.0,4294967295.0,4294967295.0,1.0,0.011650690776680989,0.011999794786343373,42.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08669551359998516,0.11629830590444505
43.0,1.0,9.0,4294967295.0,4294967295.0,1.0,0.011650690776680975,0.011999794786343387,43.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08667450619620179,0.11627506041259328
44.0,1.0,2.0,4294967295.0,4294967295.0,1.0,0.011650690776680975,0.011999794786343387,44.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08665349879241845,0.11625181359806788
45.0,1.0,5.0,4294967295.0,4294967295.0,1.0,0.011650690776680975,0.011999794786343401,45.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08663249138863509,0.1162285654599868
46.0,1.0,3.0,4294967295.0,4294967295.0,1.0,0.011650690776680975,0.011999794786343415,46.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08661148398485173,0.11620531599746736
47.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.011650690776680975,0.011999794786343415,47.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08659047658106835,0.11618206520962632
48.0,1.0,7.0,4294967295.0,4294967295.0,1.0,0.011650690776680961,0.011999794786343429,48.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08656946917728497,0.11615881309557982
49.0,1.0,9.0,4294967295.0,4294967295.0,1.0,0.011650690776680961,0.011999794786343443,49.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08654846177350162,0.11613555965444346
50.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776680961,0.011999794786343429,50.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08652745436971826,0.11611230488533217
51.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776680961,0.011999794786343443,51.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08650644696593489,0.11608904878736037
52.0,1.0,5.0,4294967295.0,4294967295.0,1.0,0.011650690776680961,0.01199979478634347,52.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08648543956215152,0.11606579135964186
53.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.011650690776680961,0.01199979478634347,53.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08646443215836816,0.11604253260128984
54.0,1.0,7.0,4294967295.0,4294967295.0,1.0,0.011650690776680961,0.011999794786343485,54.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0864434247545848,0.11601927251141693
55.0,1.0,7.0,4294967295.0,4294967295.0,1.0,0.011650690776680961,0.011999794786343498,55.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08642241735080143,0.11599601108913513
56.0,1.0,9.0,4294967295.0,4294967295.0,1.0,0.011650690776680961,0.011999794786343485,56.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08640140994701806,0.11597274833355589
57.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776680947,0.011999794786343485,57.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08638040254323469,0.11594948424379005
58.0,1.0,2.0,4294967295.0,4294967295.0,1.0,0.011650690776680947,0.011999794786343512,58.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08635939513945134,0.11592621881894782
59.0,1.0,8.0,4294967295.0,4294967295.0,1.0,0.011650690776680947,0.011999794786343512,59.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08633838773566799,0.1159029520581389
60.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.011650690776680947,0.011999794786343512,60.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08631738033188463,0.11587968396047235
61.0,1.0,5.0,4294967295.0,4294967295.0,1.0,0.011650690776680947,0.01199979478634354,61.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08629637292810126,0.11585641452505663
62.0,1.0,2.0,4294967295.0,4294967295.0,1.0,0.011650690776680947,0.011999794786343526,62.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0862753655243179,0.11583314375099958
63.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.011650690776680933,0.011999794786343512,63.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08625435812053454,0.1158098716374085
64.0,1.0,8.0,4294967295.0,4294967295.0,1.0,0.011650690776680947,0.01199979478634354,64.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08623335071675119,0.11578659818339006
65.0,1.0,11.0,4294967295.0,4294967295.0,1.0,0.011650690776680947,0.01199979478634354,65.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08621234331296782,0.11576332338805033
66.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.011650690776680933,0.01199979478634354,66.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08619133590918443,0.11574004725049483
67.0,1.0,8.0,4294967295.0,4294967295.0,1.0,0.011650690776680933,0.011999794786343568,67.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08617032850540109,0.11571676976982845
68.0,1.0,2.0,4294967295.0,4294967295.0,1.0,0.011650690776680933,0.011999794786343568,68.0,2.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08614932110161772,0.11569349094515546
69.0,1.0,8.0,4294967295.0,4294967295.0,1.0,0.011650690776680933,0.011999794786343554,69.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08612831369783436,0.11567021077557957
70.0,1.0,8.0,4294967295.0,4294967295.0,1.0,0.011650690776680933,0.011999794786343568,70.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08610730629405097,0.11564692926020387
71.0,1.0,8.0,4294967295.0,4294967295.0,1.0,0.01165069077668092,0.011999794786343568,71.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0860862988902676,0.11562364639813086
72.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776680905,0.011999794786343568,72.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08606529148648423,0.11560036218846245
73.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776680905,0.011999794786343596,73.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08604428408270087,0.11557707663029997
74.0,1.0,7.0,4294967295.0,4294967295.0,1.0,0.011650690776680905,0.011999794786343596,74.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08602327667891752,0.11555378972274406
75.0,1.0,7.0,4294967295.0,4294967295.0,1.0,0.011650690776680905,0.011999794786343582,75.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08600226927513414,0.11553050146489488
76.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776680905,0.011999794786343596,76.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0859812618713508,0.11550721185585192
77.0,1.0,8.0,4294967295.0,4294967295.0,1.0,0.011650690776680905,0.011999794786343596,77.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08596025446756744,0.11548392089471407
78.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.011650690776680905,0.011999794786343596,78.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08593924706378409,0.11546062858057965
79.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.011650690776680905,0.011999794786343623,79.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08591823966000071,0.11543733491254636
80.0,1.0,7.0,4294967295.0,4294967295.0,1.0,0.011650690776680891,0.011999794786343623,80.0,3.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08589723225621734,0.11541403988971127
81.0,1.0,9.0,4294967295.0,4294967295.0,1.0,0.011650690776680891,0.011999794786343623,81.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08587622485243399,0.11539074351117089
82.0,1.0,5.0,4294967295.0,4294967295.0,1.0,0.011650690776680891,0.011999794786343637,82.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08585521744865063,0.11536744577602114
83.0,1.0,5.0,4294967295.0,4294967295.0,1.0,0.011650690776680891,0.011999794786343623,83.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08583421004486726,0.1153441466833573
84.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.011650690776680891,0.011999794786343623,84.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08581320264108389,0.11532084623227407
85.0,1.0,5.0,4294967295.0,4294967295.0,1.0,0.011650690776680878,0.011999794786343651,85.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08579219523730051,0.11529754442186552
86.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776680878,0.011999794786343651,86.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08577118783351716,0.11527424125122512
87.0,1.0,7.0,4294967295.0,4294967295.0,1.0,0.011650690776680878,0.011999794786343651,87.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08575018042973379,0.11525093671944577
88.0,1.0,5.0,4294967295.0,4294967295.0,1.0,0.011650690776680878,0.011999794786343665,88.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08572917302595041,0.11522763082561972
89.0,1.0,7.0,4294967295.0,4294967295.0,1.0,0.011650690776680864,0.011999794786343651,89.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08570816562216703,0.11520432356883867
90.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776680864,0.011999794786343637,90.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08568715821838369,0.11518101494819365
91.0,1.0,2.0,4294967295.0,4294967295.0,1.0,0.011650690776680864,0.011999794786343651,91.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08566615081460031,0.11515770496277511
92.0,1.0,11.0,4294967295.0,4294967295.0,1.0,0.011650690776680864,0.011999794786343651,92.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08564514341081696,0.11513439361167291
93.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776680864,0.011999794786343651,93.0,2.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08562413600703359,0.1151110808939763
94.0,1.0,9.0,4294967295.0,4294967295.0,1.0,0.01165069077668085,0.011999794786343665,94.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08560312860325023,0.1150877668087739
95.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.01165069077668085,0.011999794786343651,95.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08558212119946687,0.11506445135515375
96.0,1.0,14.0,4294967295.0,4294967295.0,1.0,0.01165069077668085,0.011999794786343637,96.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08556111379568351,0.11504113453220326
97.0,1.0,3.0,4294967295.0,4294967295.0,1.0,0.01165069077668085,0.011999794786343651,97.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08554010639190014,0.11501781633900925
98.0,1.0,5.0,4294967295.0,4294967295.0,1.0,0.011650690776680836,0.011999794786343665,98.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08551909898811677,0.11499449677465787
99.0,1.0,3.0,4294967295.0,4294967295.0,1.0,0.011650690776680836,0.011999794786343665,99.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08549809158433343,0.11497117583823477
100.0,1.0,8.0,4294967295.0,4294967295.0,1.0,0.011650690776680836,0.011999794786343679,100.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08547708418055006,0.1149478535288249
101.0,1.0,8.0,4294967295.0,4294967295.0,1.0,0.011650690776680836,0.011999794786343693,101.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0854560767767667,0.11492452984551263
102.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776680836,0.011999794786343679,102.0,2.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08543506937298331,0.11490120478738174
103.0,1.0,8.0,4294967295.0,4294967295.0,1.0,0.011650690776680822,0.011999794786343679,103.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08541406196919994,0.11487787835351536
104.0,1.0,5.0,4294967295.0,4294967295.0,1.0,0.011650690776680822,0.011999794786343693,104.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08539305456541658,0.11485455054299604
105.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.011650690776680822,0.011999794786343693,105.0,3.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08537204716163323,0.11483122135490569
106.0,1.0,7.0,4294967295.0,4294967295.0,1.0,0.011650690776680822,0.011999794786343707,106.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08535103975784986,0.11480789078832561
107.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776680822,0.011999794786343734,107.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08533003235406648,0.11478455884233654
108.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776680822,0.011999794786343734,108.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08530902495028313,0.11476122551601856
109.0,1.0,5.0,4294967295.0,4294967295.0,1.0,0.011650690776680822,0.011999794786343734,109.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08528801754649977,0.11473789080845112
110.0,1.0,7.0,4294967295.0,4294967295.0,1.0,0.011650690776680822,0.011999794786343748,110.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0852670101427164,0.11471455471871307
111.0,1.0,8.0,4294967295.0,4294967295.0,1.0,0.011650690776680822,0.011999794786343748,111.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08524600273893303,0.11469121724588269
112.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.011650690776680808,0.011999794786343762,112.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08522499533514966,0.1146678783890376
113.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.011650690776680808,0.01199979478634379,113.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08520398793136631,0.11464453814725481
114.0,1.0,8.0,4294967295.0,4294967295.0,1.0,0.011650690776680808,0.01199979478634379,114.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08518298052758295,0.11462119651961072
115.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776680808,0.01199979478634379,115.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0851619731237996,0.11459785350518112
116.0,1.0,4.0,4294967295.0,4294967295.0,1.0,0.011650690776680808,0.011999794786343804,116.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08514096572001623,0.11457450910304118
117.0,1.0,8.0,4294967295.0,4294967295.0,1.0,0.011650690776680808,0.011999794786343804,117.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08511995831623288,0.11455116331226545
118.0,1.0,6.0,4294967295.0,4294967295.0,1.0,0.011650690776680808,0.011999794786343818,118.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08509895091244953,0.11452781613192786
119.0,1.0,1.0,4294967295.0,4294967295.0,1.0,0.011650690776680808,0.011999794786343845,119.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08507794350866615,0.11450446756110175
